ticks greenbelt-width greenbelt-position available-locations
 1 1 20 5 
 0 1 20 5 
 5 1 20 5 
 1 1 20 5 
 1 1 20 5 
 0 1 20 5 
 0 1 20 5 
 0 1 20 5 
 1 1 20 5 
 2 1 20 5 
 2 1 20 5 
 0 1 20 5 
 2 1 20 5 
 3 1 20 5 
 4 1 20 5 
 2 1 20 5 
 1 1 20 5 
 3 1 20 5 
 3 1 20 5 
 0 1 20 5 
 7 1 20 5 
 1 1 20 5 
 0 1 20 5 
 2 1 20 5 
 2 1 20 5 
 0 1 20 5 
 2 1 20 5 
 2 1 20 5 
 4 1 20 5 
 0 1 20 5 
 0 1 20 5 
 0 1 20 5 
 14 1 20 15 
 14 1 20 15 
 14 1 20 15 
 15 1 20 15 
 13 1 20 15 
 13 1 20 15 
 9 1 20 15 
 13 1 20 15 
 11 1 20 15 
 6 1 20 15 
 14 1 20 15 
 1 1 20 15 
 16 1 20 15 
 16 1 20 15 
 12 1 20 15 
 17 1 20 15 
 4 1 20 15 
 9 1 20 15 
 12 1 20 15 
 1 1 20 15 
 14 1 20 15 
 13 1 20 15 
 14 1 20 15 
 11 1 20 15 
 12 1 20 15 
 6 1 20 15 
 10 1 20 15 
 17 1 20 15 
 12 1 20 15 
 13 1 20 15 
 6 1 40 5 
 21 1 40 5 
 4 1 40 5 
 31 1 40 5 
 6 1 40 5 
 21 1 40 5 
 8 1 40 5 
 7 1 40 5 
 4 1 40 5 
 16 1 40 5 
 11 1 40 5 
 9 1 40 5 
 9 1 40 5 
 3 1 40 5 
 4 1 40 5 
 19 1 40 5 
 8 1 40 5 
 18 1 40 5 
 11 1 40 5 
 32 1 40 5 
 10 1 40 5 
 7 1 40 5 
 10 1 40 5 
 5 1 40 5 
 18 1 40 5 
 14 1 40 5 
 5 1 40 5 
 13 1 40 5 
 20 1 40 5 
 23 1 40 5 
 25 1 40 15 
 32 1 40 15 
 32 1 40 15 
 34 1 40 15 
 33 1 40 15 
 37 1 40 15 
 38 1 40 15 
 33 1 40 15 
 33 1 40 15 
 34 1 40 15 
 36 1 40 15 
 37 1 40 15 
