 ticks greenbelt-width aq asd greenbelt-position available-locations aq-distribution gb-influence center-outside 
 386 1 0 0 20 15 "uniform" false 1 
 402 1 0 0 20 15 "uniform" false 2 
 385 1 0 0 20 15 "uniform" false 3 
 392 1 0 0 20 15 "uniform" false 2 
 423 1 0 0 20 15 "uniform" false 3 
 396 1 0 0 20 15 "uniform" false 2 
 392 1 0 0 20 15 "uniform" false 2 
 404 1 0 0 20 15 "uniform" false 4 
 414 1 0 0 20 15 "uniform" false 4 
 406 1 0 0 20 15 "uniform" false 4 
 409 1 0 0 20 15 "uniform" false 1 
 406 1 0 0 20 15 "uniform" false 3 
 403 1 0 0 20 15 "uniform" false 4 
 397 1 0 0 20 15 "uniform" false 3 
 403 1 0 0 20 15 "uniform" false 3 
 405 1 0 0 20 15 "uniform" false 4 
 394 1 0 0 20 15 "uniform" false 0 
 399 1 0 0 20 15 "uniform" false 2 
 396 1 0 0 20 15 "uniform" false 2 
 403 1 0 0 20 15 "uniform" false 4 
 391 1 0 0 20 15 "uniform" false 3 
 394 1 0 0 20 15 "uniform" false 3 
 396 1 0 0 20 15 "uniform" false 3 
 412 1 0 0 20 15 "uniform" false 3 
 396 1 0 0 20 15 "uniform" false 2 
 390 1 0 0 20 15 "uniform" false 3 
 392 1 0 0 20 15 "uniform" false 3 
 397 1 0 0 20 15 "uniform" false 3 
 432 1 0 0 20 15 "uniform" false 3 
 422 1 0 0 20 15 "uniform" false 3 
 399 1 0 0 20 30 "uniform" false 1 
 388 1 0 0 20 30 "uniform" false 3 
 397 1 0 0 20 30 "uniform" false 2 
 398 1 0 0 20 30 "uniform" false 3 
 410 1 0 0 20 30 "uniform" false 2 
 391 1 0 0 20 30 "uniform" false 2 
 397 1 0 0 20 30 "uniform" false 3 
 410 1 0 0 20 30 "uniform" false 4 
 369 1 0 0 20 30 "uniform" false 3 
 412 1 0 0 20 30 "uniform" false 0 
 388 1 0 0 20 30 "uniform" false 2 
 428 1 0 0 20 30 "uniform" false 4 
 401 1 0 0 20 30 "uniform" false 3 
 380 1 0 0 20 30 "uniform" false 3 
 376 1 0 0 20 30 "uniform" false 3 
 401 1 0 0 20 30 "uniform" false 3 
 390 1 0 0 20 30 "uniform" false 1 
 377 1 0 0 20 30 "uniform" false 2 
 411 1 0 0 20 30 "uniform" false 3 
 394 1 0 0 20 30 "uniform" false 3 
 400 1 0 0 20 30 "uniform" false 4 
 416 1 0 0 20 30 "uniform" false 2 
 405 1 0 0 20 30 "uniform" false 3 
 392 1 0 0 20 30 "uniform" false 3 
 392 1 0 0 20 30 "uniform" false 2 
 413 1 0 0 20 30 "uniform" false 3 
 399 1 0 0 20 30 "uniform" false 2 
 395 1 0 0 20 30 "uniform" false 1 
 399 1 0 0 20 30 "uniform" false 3 
 411 1 0 0 20 30 "uniform" false 1 
 407 1 0 0 20 45 "uniform" false 4 
 379 1 0 0 20 45 "uniform" false 2 
 383 1 0 0 20 45 "uniform" false 2 
 381 1 0 0 20 45 "uniform" false 2 
 378 1 0 0 20 45 "uniform" false 2 
 388 1 0 0 20 45 "uniform" false 3 
 384 1 0 0 20 45 "uniform" false 3 
 386 1 0 0 20 45 "uniform" false 3 
 407 1 0 0 20 45 "uniform" false 3 
 414 1 0 0 20 45 "uniform" false 2 
 388 1 0 0 20 45 "uniform" false 2 
 414 1 0 0 20 45 "uniform" false 3 
 391 1 0 0 20 45 "uniform" false 2 
 396 1 0 0 20 45 "uniform" false 2 
 391 1 0 0 20 45 "uniform" false 2 
 376 1 0 0 20 45 "uniform" false 1 
 393 1 0 0 20 45 "uniform" false 2 
 411 1 0 0 20 45 "uniform" false 4 
 399 1 0 0 20 45 "uniform" false 2 
 412 1 0 0 20 45 "uniform" false 2 
 409 1 0 0 20 45 "uniform" false 2 
 413 1 0 0 20 45 "uniform" false 2 
 398 1 0 0 20 45 "uniform" false 3 
 408 1 0 0 20 45 "uniform" false 3 
 406 1 0 0 20 45 "uniform" false 2 
 406 1 0 0 20 45 "uniform" false 4 
 415 1 0 0 20 45 "uniform" false 4 
 404 1 0 0 20 45 "uniform" false 2 
 409 1 0 0 20 45 "uniform" false 3 
 412 1 0 0 20 45 "uniform" false 3 
 595 1 0 0 40 15 "uniform" false 1 
 587 1 0 0 40 15 "uniform" false 2 
