ticks aq asd available-locations distribution center-outside
 568 0 0 15 "uniform" 1 
 532 0 0 15 "uniform" 3 
 552 0 0 15 "uniform" 0 
 568 0 0 15 "uniform" 3 
 573 0 0 15 "uniform" 3 
 558 0 0 15 "uniform" 3 
 557 0 0 15 "uniform" 2 
 542 0 0 15 "uniform" 3 
 563 0 0 15 "uniform" 3 
 559 0 0 15 "uniform" 3 
 558 0 0 15 "uniform" 5 
 539 0 0 15 "uniform" 5 
 523 0 0 15 "uniform" 4 
 564 0 0 15 "uniform" 4 
 540 0 0 15 "uniform" 3 
 581 0 0 15 "uniform" 2 
 594 0 0 15 "uniform" 2 
 568 0 0 15 "uniform" 2 
 539 0 0 15 "uniform" 3 
 529 0 0 15 "uniform" 1 
 527 0 0 15 "uniform" 1 
 590 0 0 15 "uniform" 3 
 550 0 0 15 "uniform" 2 
 536 0 0 15 "uniform" 1 
 546 0 0 15 "uniform" 2 
 582 0 0 15 "uniform" 3 
 561 0 0 15 "uniform" 3 
 586 0 0 15 "uniform" 3 
 556 0 0 15 "uniform" 2 
 571 0 0 15 "uniform" 4 
 524 0 0 30 "uniform" 3 
 571 0 0 30 "uniform" 4 
 558 0 0 30 "uniform" 1 
 566 0 0 30 "uniform" 3 
 557 0 0 30 "uniform" 3 
 555 0 0 30 "uniform" 4 
 608 0 0 30 "uniform" 4 
 537 0 0 30 "uniform" 3 
 534 0 0 30 "uniform" 3 
 543 0 0 30 "uniform" 2 
 528 0 0 30 "uniform" 3 
 567 0 0 30 "uniform" 2 
 553 0 0 30 "uniform" 3 
 523 0 0 30 "uniform" 2 
 514 0 0 30 "uniform" 3 
 598 0 0 30 "uniform" 3 
 534 0 0 30 "uniform" 3 
 569 0 0 30 "uniform" 3 
 561 0 0 30 "uniform" 2 
 539 0 0 30 "uniform" 1 
 545 0 0 30 "uniform" 2 
 540 0 0 30 "uniform" 1 
 533 0 0 30 "uniform" 3 
 555 0 0 30 "uniform" 3 
 583 0 0 30 "uniform" 2 
 569 0 0 30 "uniform" 3 
 579 0 0 30 "uniform" 3 
 524 0 0 30 "uniform" 1 
 583 0 0 30 "uniform" 3 
 591 0 0 30 "uniform" 3 
 548 0 0 45 "uniform" 4 
 545 0 0 45 "uniform" 1 
 538 0 0 45 "uniform" 4 
 547 0 0 45 "uniform" 2 
 533 0 0 45 "uniform" 3 
 559 0 0 45 "uniform" 3 
 577 0 0 45 "uniform" 4 
 573 0 0 45 "uniform" 4 
 602 0 0 45 "uniform" 3 
 562 0 0 45 "uniform" 3 
 569 0 0 45 "uniform" 3 
 539 0 0 45 "uniform" 1 
 533 0 0 45 "uniform" 3 
 602 0 0 45 "uniform" 2 
 557 0 0 45 "uniform" 4 
 555 0 0 45 "uniform" 2 
 547 0 0 45 "uniform" 3 
 546 0 0 45 "uniform" 3 
 531 0 0 45 "uniform" 4 
 542 0 0 45 "uniform" 2 
 540 0 0 45 "uniform" 1 
 564 0 0 45 "uniform" 1 
 576 0 0 45 "uniform" 3 
 562 0 0 45 "uniform" 3 
 527 0 0 45 "uniform" 3 
 580 0 0 45 "uniform" 1 
 555 0 0 45 "uniform" 2 
 553 0 0 45 "uniform" 2 
 529 0 0 45 "uniform" 4 
 568 0 0 45 "uniform" 4 
 1668 0.5 0.5 15 "random" 2 
 1698 0.5 0.5 15 "random" 4 
 1814 0.5 0.5 15 "random" 3 
 1573 0.5 0.5 15 "random" 4 
 1066 0.5 0.5 15 "random" 5 
 1200 0.5 0.5 15 "random" 6 
 1524 0.5 0.5 15 "random" 3 
 1828 0.5 0.5 15 "random" 5 
 1437 0.5 0.5 15 "random" 5 
 1426 0.5 0.5 15 "random" 3 
 2285 0.5 0.5 15 "random" 2 
 1843 0.5 0.5 15 "random" 0 
 1240 0.5 0.5 15 "random" 3 
 1593 0.5 0.5 15 "random" 4 
 2169 0.5 0.5 15 "random" 2 
 2332 0.5 0.5 15 "random" 3 
 1593 0.5 0.5 15 "random" 3 
 840 0.5 0.5 15 "random" 4 
 1923 0.5 0.5 15 "random" 0 
 1181 0.5 0.5 15 "random" 5 
 1320 0.5 0.5 15 "random" 4 
 1826 0.5 0.5 15 "random" 1 
 1752 0.5 0.5 15 "random" 1 
 951 0.5 0.5 15 "random" 4 
 1206 0.5 0.5 15 "random" 4 
 1839 0.5 0.5 15 "random" 3 
 1842 0.5 0.5 15 "random" 6 
 1475 0.5 0.5 15 "random" 3 
 2032 0.5 0.5 15 "random" 3 
 2189 0.5 0.5 15 "random" 3 
 1257 0.5 0.5 30 "random" 5 
 2023 0.5 0.5 30 "random" 2 
 2121 0.5 0.5 30 "random" 3 
 1813 0.5 0.5 30 "random" 3 
 1717 0.5 0.5 30 "random" 5 
 1499 0.5 0.5 30 "random" 1 
 1910 0.5 0.5 30 "random" 3 
 1614 0.5 0.5 30 "random" 3 
 2266 0.5 0.5 30 "random" 2 
 1642 0.5 0.5 30 "random" 2 
 1642 0.5 0.5 30 "random" 2 
 1774 0.5 0.5 30 "random" 2 
 1777 0.5 0.5 30 "random" 2 
 1935 0.5 0.5 30 "random" 3 
 2709 0.5 0.5 30 "random" 2 
 1449 0.5 0.5 30 "random" 3 
 1816 0.5 0.5 30 "random" 3 
 1511 0.5 0.5 30 "random" 4 
 1558 0.5 0.5 30 "random" 4 
 2589 0.5 0.5 30 "random" 3 
 1786 0.5 0.5 30 "random" 4 
 1548 0.5 0.5 30 "random" 3 
 1602 0.5 0.5 30 "random" 5 
 1675 0.5 0.5 30 "random" 5 
 1845 0.5 0.5 30 "random" 2 
 809 0.5 0.5 30 "random" 4 
 1507 0.5 0.5 30 "random" 3 
 2111 0.5 0.5 30 "random" 3 
 868 0.5 0.5 30 "random" 4 
 2118 0.5 0.5 30 "random" 2 
 1273 0.5 0.5 45 "random" 4 
 1583 0.5 0.5 45 "random" 2 
 1660 0.5 0.5 45 "random" 4 
 1817 0.5 0.5 45 "random" 4 
 1097 0.5 0.5 45 "random" 4 
 1441 0.5 0.5 45 "random" 4 
 1276 0.5 0.5 45 "random" 4 
 1303 0.5 0.5 45 "random" 4 
 1957 0.5 0.5 45 "random" 2 
 1226 0.5 0.5 45 "random" 4 
 2007 0.5 0.5 45 "random" 3 
 1333 0.5 0.5 45 "random" 4 
 1805 0.5 0.5 45 "random" 3 
 2199 0.5 0.5 45 "random" 3 
 1744 0.5 0.5 45 "random" 2 
 1419 0.5 0.5 45 "random" 2 
 2409 0.5 0.5 45 "random" 2 
 1035 0.5 0.5 45 "random" 5 
 1689 0.5 0.5 45 "random" 3 
 957 0.5 0.5 45 "random" 3 
 1481 0.5 0.5 45 "random" 3 
 1772 0.5 0.5 45 "random" 2 
 1660 0.5 0.5 45 "random" 3 
 1560 0.5 0.5 45 "random" 5 
 2354 0.5 0.5 45 "random" 2 
 1512 0.5 0.5 45 "random" 3 
 1832 0.5 0.5 45 "random" 4 
 1717 0.5 0.5 45 "random" 3 
 841 0.5 0.5 45 "random" 5 
 2388 0.5 0.5 45 "random" 3 
 2128 0.5 0.5 45 "random" 3 
 1315 0 0.5 15 "uniform" 3 
 1573 0 0.5 15 "uniform" 0 
 1622 0 0.5 15 "uniform" 4 
 1707 0 0.5 15 "uniform" 3 
 1120 0 0.5 15 "uniform" 4 
 1421 0 0.5 15 "uniform" 3 
 1518 0 0.5 15 "uniform" 4 
 1566 0 0.5 15 "uniform" 4 
 786 0 0.5 15 "uniform" 3 
 1471 0 0.5 15 "uniform" 4 
 1158 0 0.5 15 "uniform" 5 
 1654 0 0.5 15 "uniform" 2 
 1204 0 0.5 15 "uniform" 4 
 1299 0 0.5 15 "uniform" 4 
 1220 0 0.5 15 "uniform" 4 
 1837 0 0.5 15 "uniform" 3 
 1392 0 0.5 15 "uniform" 3 
 1462 0 0.5 15 "uniform" 2 
 889 0 0.5 15 "uniform" 4 
 1729 0 0.5 15 "uniform" 4 
 1293 0 0.5 15 "uniform" 4 
 1300 0 0.5 15 "uniform" 4 
 1444 0 0.5 15 "uniform" 4 
 1476 0 0.5 15 "uniform" 4 
 2145 0 0.5 15 "uniform" 4 
 1321 0 0.5 15 "uniform" 2 
 1329 0 0.5 15 "uniform" 4 
 1633 0 0.5 15 "uniform" 3 
 1537 0 0.5 15 "uniform" 5 
 1967 0 0.5 15 "uniform" 2 
 1154 0 0.5 30 "uniform" 3 
 1319 0 0.5 30 "uniform" 3 
 2061 0 0.5 30 "uniform" 1 
 2419 0 0.5 30 "uniform" 3 
 1955 0 0.5 30 "uniform" 4 
 1367 0 0.5 30 "uniform" 4 
 1413 0 0.5 30 "uniform" 5 
 2533 0 0.5 30 "uniform" 1 
 1188 0 0.5 30 "uniform" 4 
 1372 0 0.5 30 "uniform" 3 
 1493 0 0.5 30 "uniform" 3 
 1859 0 0.5 30 "uniform" 2 
 2493 0 0.5 30 "uniform" 2 
 1779 0 0.5 30 "uniform" 2 
 1770 0 0.5 30 "uniform" 1 
 1718 0 0.5 30 "uniform" 5 
 901 0 0.5 30 "uniform" 4 
 1713 0 0.5 30 "uniform" 4 
 1903 0 0.5 30 "uniform" 1 
 1276 0 0.5 30 "uniform" 3 
 1767 0 0.5 30 "uniform" 3 
 2076 0 0.5 30 "uniform" 2 
 1754 0 0.5 30 "uniform" 3 
 2226 0 0.5 30 "uniform" 4 
 1933 0 0.5 30 "uniform" 4 
 1724 0 0.5 30 "uniform" 2 
 1720 0 0.5 30 "uniform" 3 
 2577 0 0.5 30 "uniform" 2 
 1898 0 0.5 30 "uniform" 3 
 1608 0 0.5 30 "uniform" 2 
 960 0 0.5 45 "uniform" 4 
 1495 0 0.5 45 "uniform" 4 
 1683 0 0.5 45 "uniform" 3 
 2175 0 0.5 45 "uniform" 2 
 1274 0 0.5 45 "uniform" 3 
 1902 0 0.5 45 "uniform" 2 
 2392 0 0.5 45 "uniform" 2 
 1977 0 0.5 45 "uniform" 2 
 827 0 0.5 45 "uniform" 4 
 2083 0 0.5 45 "uniform" 2 
 1903 0 0.5 45 "uniform" 3 
 1663 0 0.5 45 "uniform" 3 
 1327 0 0.5 45 "uniform" 2 
 1787 0 0.5 45 "uniform" 1 
 1407 0 0.5 45 "uniform" 4 
 1482 0 0.5 45 "uniform" 2 
 1378 0 0.5 45 "uniform" 3 
 1689 0 0.5 45 "uniform" 1 
 1969 0 0.5 45 "uniform" 2 
 1283 0 0.5 45 "uniform" 3 
 1923 0 0.5 45 "uniform" 3 
 1897 0 0.5 45 "uniform" 2 
 1555 0 0.5 45 "uniform" 3 
 2312 0 0.5 45 "uniform" 3 
 1613 0 0.5 45 "uniform" 2 
 2170 0 0.5 45 "uniform" 3 
 1561 0 0.5 45 "uniform" 4 
 1573 0 0.5 45 "uniform" 4 
 1753 0 0.5 45 "uniform" 3 
 2237 0 0.5 45 "uniform" 3 
